"R0000100","R0536402","S7514300","S8646900","S8647300","S8647500","S8647800"
364,1984,2,-4,-4,-4,-4
365,1982,2,-4,-4,-4,-4
366,1980,4,4,1,1,1
367,1981,3,-4,-4,-4,-4
368,1981,2,4,1,2,1
369,1984,-5,-5,-5,-5,-5
370,1981,-5,-5,-5,-5,-5
371,1982,-5,-5,-5,-5,-5
372,1983,2,-4,-4,-4,-4
373,1984,2,1,1,1,1
374,1981,2,-4,-4,-4,-4
375,1982,-5,-5,-5,-5,-5
376,1981,2,-4,-4,-4,-4
377,1984,2,-4,-4,-4,-4
378,1984,2,-4,-4,-4,-4
379,1980,-5,-5,-5,-5,-5
380,1983,-5,-5,-5,-5,-5
381,1980,-5,-5,-5,-5,-5
382,1980,3,-4,-4,-4,-4
383,1984,-5,-5,-5,-5,-5
384,1983,-5,-5,-5,-5,-5
385,1981,2,-4,-4,-4,-4
386,1980,2,-4,-4,-4,-4
387,1983,1,2,2,-2,1
388,1982,0,-4,-4,-4,-4
389,1981,-5,-5,-5,-5,-5
390,1983,2,-4,-4,-4,-4
391,1980,2,-4,-4,-4,-4
392,1980,2,-4,-4,-4,-4
393,1983,3,-4,-4,-4,-4
394,1984,2,2,1,1,1
395,1984,2,-4,-4,-4,-4
396,1983,2,-4,-4,-4,-4
397,1982,1,-4,-4,-4,-4
398,1980,2,-4,-4,-4,-4
399,1980,-5,-5,-5,-5,-5
400,1982,-5,-5,-5,-5,-5
401,1984,-5,-5,-5,-5,-5
402,1984,2,-4,-4,-4,-4
403,1984,2,3,2,2,2
404,1980,4,-4,-4,-4,-4
405,1981,-5,-5,-5,-5,-5
406,1983,3,-4,-4,-4,-4
407,1981,2,-4,-4,-4,-4
408,1980,2,-4,-4,-4,-4
409,1980,2,-4,-4,-4,-4
410,1980,1,-4,-4,-4,-4
411,1980,2,-4,-4,-4,-4
412,1982,4,-4,-4,-4,-4
413,1980,2,-4,-4,-4,-4
414,1980,2,-4,-4,-4,-4
415,1981,4,-4,-4,-4,-4
416,1980,5,-4,-4,-4,-4
417,1983,4,2,1,2,2
418,1983,-5,-5,-5,-5,-5
419,1984,2,-4,-4,-4,-4
420,1980,4,-4,-4,-4,-4
